식품대분류명,대표식품명,열량,나트륨,탄수화물,당류,지방,트랜스지방,포화지방,콜레스테롤,단백질
밥류,돼지머리국밥,137,181.0,15.94,0.16,5.16,0.03,1.47,23.82,6.7
밥류,순대국밥,75,126.0,10.38,0.17,2.28,0.01,1.26,48.69,3.17
밥류,콩나물국밥,52,172.0,10.93,0.0,0.24,0.0,0.12,0.0,1.45
밥류,기장밥,166,1.0,36.77,0.0,0.57,0.0,0.08,0.0,3.44
밥류,김밥,140,307.0,19.98,0.0,4.55,0.02,1.1,19.3,4.84
밥류,김치김밥,130,349.0,19.17,0.29,4.03,0.02,1.06,47.38,4.3
밥류,날치알김밥,177,299.0,28.66,1.43,4.26,0.03,1.2,55.15,6.1
밥류,돈가스김밥,202,241.0,31.64,1.33,5.81,0.04,1.07,6.52,5.77
밥류,소고기김밥,179,267.0,25.78,0.03,5.56,0.17,1.6,39.04,6.46
밥류,참치김밥,174,335.0,20.26,0.71,7.22,0.04,1.4,33.45,7.0
밥류,채소김밥,158,309.0,26.65,0.14,3.65,0.02,0.99,29.93,4.6
밥류,치즈김밥,177,169.0,22.1,0.21,7.03,0.13,2.43,35.07,6.24
밥류,풋고추김밥,169,327.0,27.52,0.09,4.41,0.03,1.24,37.81,4.88
밥류,낙지덮밥,150,212.0,24.12,2.16,3.34,0.01,0.37,32.45,5.88
밥류,닭고기덮밥,125,153.0,14.82,1.07,2.18,0.01,0.79,92.29,11.4
밥류,돼지고기(제육)덮밥,202,174.0,16.86,1.98,10.77,0.05,3.42,27.94,9.43
밥류,불고기덮밥,182,253.0,26.96,0.07,5.31,0.24,1.4,15.83,6.6
밥류,오징어덮밥,135,162.0,21.94,0.66,2.01,0.0,0.24,46.44,7.18
밥류,보리밥,161,4.0,36.77,2.57,0.24,0.0,0.1,0.0,2.9
밥류,볶음밥,183,212.0,33.97,0.0,2.76,0.03,1.1,29.28,5.56
밥류,계란볶음밥,225,318.0,24.23,0.17,11.28,0.05,2.2,62.63,6.62
밥류,김치볶음밥,167,470.0,15.74,13.89,9.18,0.04,1.43,70.41,5.32
밥류,새우볶음밥,172,146.0,22.85,0.71,6.14,0.03,1.19,70.72,6.31
밥류,소고기볶음밥,176,215.0,21.76,0.08,6.48,0.07,1.47,50.02,7.59
밥류,참치볶음밥,180,631.0,32.9,0.12,3.27,0.02,0.49,2.76,4.62
밥류,채소볶음밥,182,408.0,28.74,0.29,5.39,0.02,0.84,46.24,4.72
